rule_id,rule_name,display_name,category,table_name,retailer,field1,field2,validation_type,condition,threshold,error_message,select_fields,query
1,star_rating_count_mismatch_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,star_rating,count_of_star_ratings,cross_mismatch,(star_rating > 0 AND count_of_star_ratings IS NULL/0) OR (star_rating = no_review AND count_of_star_ratings > 0),,star_rating과 count_of_star_ratings 값 불일치,star_rating|count_of_star_ratings,"SELECT id, item, account_name, page_type, crawl_datetime, star_rating, count_of_star_ratings, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((star_rating IS NOT NULL AND star_rating NOT IN ({no_review_texts}) AND CAST(REPLACE(star_rating, ',', '') AS DECIMAL(3,1)) > 0 AND (count_of_star_ratings IS NULL OR count_of_star_ratings = '' OR count_of_star_ratings IN ({no_review_texts}) OR CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER) = 0)) OR (star_rating IN ({no_review_texts}) AND count_of_star_ratings IS NOT NULL AND count_of_star_ratings != '' AND count_of_star_ratings NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER) > 0))"
2,page_type_rank_null_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,page_type,rank,cross_null,main: main_rank IS NULL | bsr: bsr_rank IS NULL | promotion: promotion_position IS NULL,,page_type에 해당하는 rank/position이 NULL,main_rank|bsr_rank|promotion_position,"SELECT id, item, account_name, page_type, crawl_datetime, main_rank, bsr_rank, promotion_position, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((page_type = 'main' AND main_rank IS NULL) OR (page_type = 'bsr' AND bsr_rank IS NULL) OR (page_type = 'promotion' AND promotion_position IS NULL))"
3,price_anomaly_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,final_sku_price,original_sku_price,cross_price,final_sku_price > original_sku_price OR 할인율 >= 90%,,가격 이상 (final > original 또는 할인율 90% 이상),final_sku_price|original_sku_price,"SELECT id, item, account_name, page_type, crawl_datetime, final_sku_price, original_sku_price, product_url FROM {table} WHERE DATE({date_col}) = %s AND final_sku_price IS NOT NULL AND original_sku_price IS NOT NULL AND final_sku_price LIKE '$%' AND original_sku_price LIKE '$%' AND final_sku_price NOT LIKE '%/month%' AND final_sku_price NOT LIKE '%/mo%' AND CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > 0 AND CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > 0 AND (CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) OR (CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) - CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2))) / CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) * 100 >= 90)"
4,promotion_position_type_null_tv,TV 논리적 일관성,tv_retail,tv_retail_com,Bestbuy,promotion_position,promotion_type,cross_null,Bestbuy: promotion_position 값 존재 AND promotion_type IS NULL,,promotion_position이 있는데 promotion_type이 NULL,promotion_position|promotion_type,"SELECT id, item, account_name, page_type, crawl_datetime, promotion_position, promotion_type, product_url FROM {table} WHERE DATE({date_col}) = %s AND account_name = 'Bestbuy' AND promotion_position IS NOT NULL AND (promotion_type IS NULL OR promotion_type = '')"
5,reviews_ratings_count_mismatch_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,count_of_reviews,count_of_star_ratings,cross_count_mismatch,Amazon/Walmart: count_of_reviews > count_of_star_ratings | Bestbuy: count_of_reviews != count_of_star_ratings,,count_of_reviews와 count_of_star_ratings 값 불일치,count_of_reviews|count_of_star_ratings,"SELECT id, item, account_name, page_type, crawl_datetime, count_of_reviews, count_of_star_ratings, product_url FROM {table} WHERE DATE({date_col}) = %s AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND count_of_star_ratings IS NOT NULL AND count_of_star_ratings != '' AND count_of_star_ratings NOT IN ({no_review_texts}) AND ((account_name IN ('Amazon', 'Walmart') AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER)) OR (account_name = 'Bestbuy' AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) != CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER)))"
6,review_content_existence_mismatch_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,count_of_reviews,detailed_review_content,cross_null,"(리뷰수>0 AND 본문없음) OR (리뷰수=0 AND 본문있음)",,리뷰 수와 본문 존재 여부 불일치,count_of_reviews|detailed_review_content,"SELECT id, item, account_name, page_type, crawl_datetime, count_of_reviews, detailed_review_content, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > 0 AND (detailed_review_content IS NULL OR detailed_review_content = '' OR detailed_review_content IN ({no_review_texts}))) OR ((count_of_reviews IS NULL OR count_of_reviews = '' OR count_of_reviews = '0' OR count_of_reviews IN ({no_review_texts}) OR CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) = 0) AND detailed_review_content IS NOT NULL AND detailed_review_content != '' AND detailed_review_content NOT IN ({no_review_texts})))"
7,review_content_count_mismatch_tv,TV 논리적 일관성,tv_retail,tv_retail_com,all,count_of_reviews,detailed_review_content,cross_detail_mismatch,count_of_reviews > 0 AND 본문 있지만 리뷰수만큼 없음,,리뷰 본문 개수 부족,count_of_reviews|detailed_review_content,"SELECT id, item, account_name, page_type, crawl_datetime, count_of_reviews, detailed_review_content, product_url FROM {table} WHERE DATE({date_col}) = %s AND count_of_reviews IS NOT NULL AND count_of_reviews != '' AND count_of_reviews NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_reviews, ',', '') AS INTEGER) > 0 AND detailed_review_content IS NOT NULL AND detailed_review_content != '' AND detailed_review_content NOT IN ({no_review_texts})"
8,star_rating_count_mismatch_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,star_rating,count_of_star_ratings,cross_mismatch,(star_rating > 0 AND count_of_star_ratings IS NULL/0) OR (star_rating = no_review AND count_of_star_ratings > 0),,star_rating과 count_of_star_ratings 값 불일치,star_rating|count_of_star_ratings,"SELECT id, item, account_name, page_type, crawl_strdatetime, star_rating, count_of_star_ratings, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((star_rating IS NOT NULL AND star_rating NOT IN ({no_review_texts}) AND CAST(REPLACE(star_rating, ',', '') AS DECIMAL(3,1)) > 0 AND (count_of_star_ratings IS NULL OR count_of_star_ratings = '' OR count_of_star_ratings IN ({no_review_texts}) OR CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER) = 0)) OR (star_rating IN ({no_review_texts}) AND count_of_star_ratings IS NOT NULL AND count_of_star_ratings != '' AND count_of_star_ratings NOT IN ({no_review_texts}) AND CAST(REPLACE(count_of_star_ratings, ',', '') AS INTEGER) > 0))"
9,page_type_rank_null_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,page_type,rank,cross_null,main: main_rank IS NULL | bsr: bsr_rank IS NULL | trend(Bestbuy): trend_rank IS NULL,,page_type에 해당하는 rank가 NULL,main_rank|bsr_rank|trend_rank,"SELECT id, item, account_name, page_type, crawl_strdatetime, main_rank, bsr_rank, trend_rank, product_url FROM {table} WHERE DATE({date_col}) = %s AND ((page_type = 'main' AND main_rank IS NULL) OR (page_type = 'bsr' AND bsr_rank IS NULL) OR (page_type = 'trend' AND account_name = 'Bestbuy' AND trend_rank IS NULL))"
10,price_anomaly_hhp,HHP 논리적 일관성,hhp_retail,hhp_retail_com,all,final_sku_price,original_sku_price,cross_price,final_sku_price > original_sku_price OR 할인율 >= 90%,,가격 이상 (final > original 또는 할인율 90% 이상),final_sku_price|original_sku_price,"SELECT id, item, account_name, page_type, crawl_strdatetime, final_sku_price, original_sku_price, product_url FROM {table} WHERE DATE({date_col}) = %s AND final_sku_price IS NOT NULL AND original_sku_price IS NOT NULL AND final_sku_price LIKE '$%' AND original_sku_price LIKE '$%' AND final_sku_price NOT LIKE '%/month%' AND final_sku_price NOT LIKE '%/mo%' AND CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > 0 AND CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > 0 AND (CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) > CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) OR (CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) - CAST(REPLACE(REPLACE(SPLIT_PART(final_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2))) / CAST(REPLACE(REPLACE(SPLIT_PART(original_sku_price, '/', 1), '$', ''), ',', '') AS DECIMAL(10,2)) * 100 >= 90)"
